Title	Link	Abstract	Author Keywords	Index Keywords
mobile edge computing, fog et al.: a survey and analysis of security threats and challenges	 	for various reasons, the cloud computing paradigm is unable to meet certain requirements (e.g. low latency and jitter, context awareness, mobility support) that are crucial for several applications (e.g. vehicular networks, augmented reality). to fulfill these requirements, various paradigms, such as fog computing, mobile edge computing, and mobile cloud computing, have emerged in recent years. while these edge paradigms share several features, most of the existing research is compartmentalized; no synergies have been explored. this is especially true in the field of security, where most analyses focus only on one edge paradigm, while ignoring the others. the main goal of this study is to holistically analyze the security threats, challenges, and mechanisms inherent in all edge paradigms, while highlighting potential synergies and venues of collaboration. in our results, we will show that all edge paradigms should consider the advances in other paradigms. (c) 2016 elsevier b.v. all rights reserved.	security; privacy; cloud computing; fog computing; mobile edge computing; mobile cloud computing	intrusion detection; cloud; privacy; authentication; networks; internet; issues
security and privacy in fog computing: challenges	 	fog computing paradigm extends the storage, networking, and computing facilities of the cloud computing toward the edge of the networks while offloading the cloud data centers and reducing service latency to the end users. however, the characteristics of fog computing arise new security and privacy challenges. the existing security and privacy measurements for cloud computing cannot be directly applied to the fog computing due to its features, such as mobility, heterogeneity, and large-scale geo-distribution. this paper provides an overview of existing security and privacy concerns, particularly for the fog computing. afterward, this survey highlights ongoing research effort, open challenges, and research trends in privacy and security issues for fog computing.	fog; fog computing; fog networking; security; privacy; iot; privacy threats; security threats	intrusion detection; internet; scheme; things
a comprehensive study of security of internet-of-things	 	internet of things (iot), also referred to as the internet of objects, is envisioned as a transformative approach for providing numerous services. compact smart devices constitute an essential part of iot. they range widely in use, size, energy capacity, and computation power. however, the integration of these smart things into the standard internet introduces several security challenges because the majority of internet technologies and communication protocols were not designed to support iot. moreover, commercialization of iot has led to public security concerns, including personal privacy issues, threat of cyber attacks, and organized crime. in order to provide a guideline for those who want to investigate iot security and contribute to its improvement, this survey attempts to provide a comprehensive list of vulnerabilities and countermeasures against them on the edge-side layer of iot, which consists of three levels: (i) edge nodes, (ii) communication, and (iii) edge computing. to achieve this goal, we first briefly describe three widely-known iot reference models and define security in the context of iot. second, we discuss the possible applications of iot and potential motivations of the attackers who target this new paradigm. third, we discuss different attacks and threats. fourth, we describe possible countermeasures against these attacks. finally, we introduce two emerging security challenges not yet explained in detail in previous literature.	availability; confidentiality; countermeasures; integrity; internet of things; privacy; security; vulnerabilities	intrusion detection; attacks; systems; design; iot
a survey on emerging sdn and nfv security mechanisms for iot systems	 	the explosive rise of internet of things (iot) systems have notably increased the potential attack surfaces for cybercriminals. accounting for the features and constraints of iot devices, traditional security countermeasures can be inefficient in dynamic iot environments. in this vein, the advantages introduced by software defined networking (sdn) and network function virtualization (nfv) have the potential to reshape the landscape of cybersecurity for iot systems. to this aim, we provide a comprehensive analysis of security features introduced by nfv and sdn, describing the manifold strategies able to monitor, protect, and react to iot security threats. we also present lessons learned in the adoption of sdn/nfv-based protection approaches in iot environments, comparing them with conventional security countermeasures. finally, we deeply discuss the open challenges related to emerging sdn- and nfv-based security mechanisms, aiming to provide promising directives to conduct future research in this fervent area.	internet of things; security; sdn; nfv; cloud; edge computing	wireless sensor networks; software-defined networking; of-the-art; cyber security; intrusion detection; physical attacks; internet; things; service; architecture
a cybersecurity framework to identify malicious edge device in fog computing and cloud-of-things environments	 	device security is one of the major challenges for successful implementation of internet of things and fog computing environment in current it space. researchers and information technology (it) organizations have explored many solutions to protect systems from unauthenticated device attacks (known as outside device attacks). fog computing uses network devices (e.g. router, switch and hub) for latency-aware processing of collected data using iot. then, identification of malicious edge device is one of the critical activities in data security of fog computing environment. preventing attacks from malicious edge devices in fog computing environment is more difficult because they have certain granted privileges to use and process the data. in this paper, proposed cybersecurity framework uses three technologies which are markov model, intrusion detection system (ids) and virtual honeypot device (vhd) to identify malicious edge device in fog computing environment. a two stage hidden markov model is used to effectively categorize edge devices in four different levels. vhd is designed to store and maintain log repository of all identified malicious devices which assists the system to defend itself from any unknown attacks in the future. proposed cybersecurity framework is tested with real attacks in virtual environment created using openstack and microsoft azure. results indicated that proposed cybersecurity framework is successful in identifying the malicious device as well as reducing the false ids alarm rate. (c) 2017 elsevier ltd. all rights reserved.	edge device; two-stage markov model; fog computing; intrusion detection system; virtual honeypot device; internet of things	insider threat prediction; intrusion detection; information-systems; security; model
fair resource allocation in an intrusion-detection system for edge computing ensuring the security of internet of things devices	 	the recent trend of edge computing extends cloud computing and the internet of things (iot) to the edge of the network. similar to most systems, an intrusion-detection system (ids) is commonly used to mitigate cybersecurity threats in edge computing. due to the limitations in edge nodes (e.g., in terms of computational and storage capabilities), efficient and fair resource allocation within an ids is challenging. this article studies ids architecture and resource allocation in edge computing. specifically, the proposed system is designed to facilitate multiple resources sharing and heterogeneous resource-demanding allocation. a general edge computing ids architecture is presented, and we use this as the basis for our model for allocating resources. then, a single-layer dominant and max-min fair (sdmmf) allocation is used, which has been theoretically proven to satisfy all hierarchical resource allocation properties, and a multilayer resource allocation scheme [in our system, the multilayer dominant and max-min fair (mdmmf) allocation] is used to cope with the multiple resources fair allocation in multiple layers. © 2012 ieee.		computer architecture; computer crime; edge computing; internet of things; multilayers; network architecture; network security; resource allocation; fair resource allocation; heterogeneous resources; hierarchical resource; internet of thing (iot); intrusion detection systems; multiple resources; resource allocation schemes; storage capability; intrusion detection
iot security framework for smart cyber infrastructures	 	the internet of things (iot) will connect not only computers and mobile devices, but it will also interconnect smart buildings, homes, and cities, as well as electrical grids, gas, and water networks, automobiles, airplanes, etc. iot will lead to the development of a wide range of advanced information services that need to be processed in real-time and require data centers with large storage and computing power. the integration of iot with cloud and fog computing can bring not only the required computational power and storage capacity, but they enable iot services to be pervasive, cost-effective, and can be accessed from anywhere using any device (mobile or stationary). however, iot infrastructures and services will introduce grand security challenges due to the significant increase in the attack surface, complexity, heterogeneity and number of resources. in this paper, we present an iot security framework for smart infrastructures such as smart homes (sh) and smart buildings (sb). we also present a general threat model that can be used to develop a security protection methodology for iot services against cyber-attacks (known or unknown). additionally, we show that anomaly behavior analysis (aba) intrusion detection system (aba-ids) can detect and classify a wide range of attacks against iot sensors.	internet of things; threat model; attack vector; cyber security; smart infrastructures; fog computing	
the security of big data in fog-enabled iot applications including blockchain: a survey	 	the proliferation of inter-connected devices in critical industries, such as healthcare and power grid, is changing the perception of what constitutes critical infrastructure. the rising interconnectedness of new critical industries is driven by the growing demand for seamless access to information as the world becomes more mobile and connected and as the internet of things (iot) grows. critical industries are essential to the foundation of today's society, and interruption of service in any of these sectors can reverberate through other sectors and even around the globe. in today's hyper-connected world, the critical infrastructure is more vulnerable than ever to cyber threats, whether state sponsored, criminal groups or individuals. as the number of interconnected devices increases, the number of potential access points for hackers to disrupt critical infrastructure grows. this new attack surface emerges from fundamental changes in the critical infrastructure of organizations technology systems. this paper aims to improve understanding the challenges to secure future digital infrastructure while it is still evolving. after introducing the infrastructure generating big data, the functionality-based fog architecture is defined. in addition, a comprehensive review of security requirements in fog-enabled iot systems is presented. then, an in-depth analysis of the fog computing security challenges and big data privacy and trust concerns in relation to fog-enabled iot are given. we also discuss blockchain as a key enabler to address many security related issues in iot and consider closely the complementary interrelationships between blockchain and fog computing. in this context, this work formalizes the task of securing big data and its scope, provides a taxonomy to categories threats to fog-based iot systems, presents a comprehensive comparison of state-of-the-art contributions in the field according to their security service and recommends promising research directions for future investigations.	security; big data; internet of things; fog computing; edge computing; blockchain	fully homomorphic encryption; routing protocol; things security; network architecture; query authentication; intrusion detection; low-power; internet; privacy; challenges
edge computing-based security framework for big data analytics in vanets	 	with the exponential growth of technologies such as lot, edge computing, and 5g, a tremendous amount of structured and unstructured data is being generated from different applications in the smart citiy environment in recent years. thus, there is a need to develop sophisticated techniques that can efficiently process such huge volumes of data. one of the important components of smart cities, its, has led to many applications, including surveillance, infotainment, real-time traffic monitoring, and so on. however, its security, performance, and availability are major concerns facing the research community. the existing solutions, such as cellular networks, rsus, and mobile cloud computing, are far from perfect because these are highly dependent on centralized architecture and bear the cost of additional infrastructure deployment also, the conventional methods of data processing are not capable of handling dynamic and scalable data efficiently. to mitigate these issues, this article proposes an advanced vehicular communication technique where rsus are proposed to be replaced by edge computing platforms. then secure v2v and v2e communication is designed using the quotient filter, a probabilistic data structure. in summary, a smart security framework for vanets equipped with edge computing nodes and 5g technology has been designed to enhance the capabilities of communication and computation in the modern smart city environment. it has been experimentally demonstrated that use of edge nodes as an intermediate interface between vehicle and cloud reduces access latency and avoids congestion in the backbone network, which allows quick decisions to be made based on the traffic scenario in the geographical location of the vehicles. the proposed scheme outperforms the conventional vehicular models by providing an energy-efficient secure system with minimum delay.		intrusion detection; environment
a survey on security and privacy of 5g technologies: potential solutions, recent advancements, and future directions	 	security has become the primary concern in many telecommunications industries today as risks can have high consequences. especially, as the core and enable technologies will be associated with 5g network, the confidential information will move at all layers in future wireless systems. several incidents revealed that the hazard encountered by an infected wireless network, not only affects the security and privacy concerns, but also impedes the complex dynamics of the communications ecosystem. consequently, the complexity and strength of security attacks have increased in the recent past making the detection or prevention of sabotage a global challenge. from the security and privacy perspectives, this paper presents a comprehensive detail on the core and enabling technologies, which are used to build the 5g security model; network softwarization security, phy (physical) layer security and 5g privacy concerns, among others. additionally, the paper includes discussion on security monitoring and management of 5g networks. this paper also evaluates the related security measures and standards of core 5g technologies by resorting to different standardization bodies and provide a brief overview of 5g standardization security forces. furthermore, the key projects of international significance, in line with the security concerns of 5g and beyond are also presented. finally, a future directions and open challenges section has included to encourage future research.	multi-access edge computing (mec); network function virtualization (nfv); network security; network slicing; physical layer security (pls); privacy; software-defined networking (sdn) and telecommunication; 5g	physical-layer security; software defined networks; nonorthogonal multiple-access; massive mimo systems; resource-allocation; next-generation; health-care; intrusion detection; wireless networks; anomaly detection
