Title	Link	Abstract	Author Keywords	Index Keywords
Optimization scheme for intrusion detection scheme GBDT in edge computing center	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099874652&doi=10.1016%2fj.comcom.2020.12.007&partnerID=40&md5=81f6e1b48667c19851fbd65cfbb5cdea	Combination of edge computing technologies and machine learning help to put edge intelligence into practice. Industrial Internet of Things (IIoT) is one of its most typical applications. But this system can be easily attacked in the process of using edge computing center to process localized perception data. Intrusion detection technologies based on machine learning provide strong security for edge computing center, in which the most widely used is gradient boosting decision tree (i.e., GBDT). But still this model faces with problems such as imbalanced data, high dimensional data characteristics, and low efficiency of parameter optimization. To solve these problems, this paper proposes an optimization scheme for GBDT to improve its detection precision and training efficiency. First, to solve the problem of imbalanced data in data set, we propose a margin synthetic minority oversampling technique (i.e., MSMOTE), which can expand the non-noise data with less sample size, namely, small sample, to ensure equilibrium distribution of data. Second, to lower the data feature dimensionality, we propose a recursive feature elimination-hierarchy cross validation algorithm (i.e., RFE-HCV). The new algorithm eliminates redundant data features recursively according to feature weight, to strengthen the relationship between features and goals. It also designs hierarchy system to ensure equal proportionment of data category (attack category) in training set and testing set at cross validation stage. Next, in order to improve the efficiency of parameter optimization in model training process, we develop a flexible grid search algorithm (i.e., FGS) to improve retrieval efficiency of optimum parameters. Finally, the detailed experimental results show that our new scheme ensures data balance in dataset and eliminates redundant data features, and helps the efficiency of parameter optimization increase by three times. Moreover, the new scheme defends against intrusion more effectively. © 2020 Elsevier B.V.	Ensemble learning; Gradient boosting decision tree; Intrusion detection; Machine learning	Adaptive boosting; Clustering algorithms; Decision trees; Edge computing; Efficiency; Industrial internet of things (IIoT); Machine learning; Cross validation algorithms; Equilibrium distributions; High dimensional data; Intrusion detection scheme; Intrusion detection technologies; Parameter optimization; Recursive feature elimination; Synthetic minority over-sampling techniques; Intrusion detection
A Survey on Smart Agriculture: Development Modes, Technologies, and Security and Privacy Challenges	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097205592&doi=10.1109%2fJAS.2020.1003536&partnerID=40&md5=beff2aa84e22b87e5fa8d1e08d3e1b9a	[No abstract available]		5G mobile communication systems; Access control; Agricultural robots; Augmented reality; Energy management systems; Fog computing; Information management; Intrusion detection; Privacy by design; Additional experiments; Agricultural equipment; Agricultural productions; Agricultural security; Future research directions; Intrusion Detection Systems; Modern information technologies; Technologies and applications; Agriculture
Ad Hoc Vehicular Fog Enabling Cooperative Low-Latency Intrusion Detection	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099123407&doi=10.1109%2fJIOT.2020.3008488&partnerID=40&md5=0178d2e07e076ebba760330102ea8da8	Internet of Vehicles and vehicular networks have been compelling targets for malicious security attacks where several intrusion detection solutions have been proposed for protecting them. Nonetheless, their main problem lies in their heavy computation, which makes them unsuitable for next-generation artificial intelligence-powered self-driving vehicles whose computational power needs to be primarily reserved for real-time driving decisions. To address this challenge, several approaches have been lately presented to take advantage of the cloud computing for offloading intrusion detection tasks to central cloud servers, thus reducing storage and processing costs on vehicles. However, centralized cloud computing entails high latency on intrusion detection related data transmission and plays against its adoption in delay-critical intelligent applications. In this context, this article proposes a vehicular-edge computing (VEC) fog-enabled scheme allowing offloading intrusion detection tasks to federated vehicle nodes located within nearby formed ad hoc vehicular fog to be cooperatively executed with minimal latency. The problem has been formulated as a multiobjective optimization model and solved using a genetic algorithm maximizing offloading survivability in the presence of high mobility and minimizing computation execution time and energy consumption. Experiments performed on resource-constrained devices within actual ad hoc fog environment illustrate that our solution significantly reduces the execution time of the detection process while maximizing the offloading survivability under different real-life scenarios. © 2014 IEEE.	Ad hoc vehicular fog; cooperative intrusion detection; federated vehicles; Internet of Things (IoT); Internet of Vehicles (IoV); mobile-edge computing (MEC); multiobjective optimization; offloading; resource management; security; vehicular fog federation; vehicular-edge computing (VEC)	Artificial intelligence; Cloud computing; Digital storage; Energy utilization; Fog; Genetic algorithms; Multiobjective optimization; Vehicle to vehicle communications; Vehicles; Computational power; Detection process; Intelligent applications; Multi-objective optimization models; Processing costs; Resourceconstrained devices; Security attacks; Vehicular networks; Intrusion detection
An ensemble learning and fog-cloud architecture-driven cyber-attack detection framework for IoMT networks	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097564138&doi=10.1016%2fj.comcom.2020.12.003&partnerID=40&md5=409ba8f7a79fa07267da7bd044eff556	Internet of Medical Things (IoMT), an application of Internet of Things (IoT), is addressing countless limitation of traditional health-care systems such as quality of patient care, healthcare costs, shortage of medical staff and inadequate medical supplies in an efficient manner. With the use of the IoMT systems, there are unparalleled benefits that are enhancing the quality and efficiency of treatments and thereby are improving patients health. However, the 2018 Ransomware cyber-attack on Indiana hospital system exposed the critical fault-lines among IoMT environment. The gravity and frequency of cyber-attacks are expanding at an alarming rate. Motivated from aforementioned challenges, we propose an ensemble learning and fog-cloud architecture-driven cyber-attack detection framework for IoMT networks. The ensemble design, combines Decision Tree, Naive Bayes, and Random Forest as first-level individual learners. In the next level, the classification results are used by XGBoost for identifying normal and attack instances. Second, for dynamic and heterogeneous networks such as IoMT, fog, and cloud, we present a deployment architecture for the proposed framework as, Software as a Service (SaaS) in fog side and Infrastructure as a Service (IaaS) in cloud side. Further, most of the existing work is evaluated using KDD CUP99 or NSL-KDD dataset. These datasets lack modern IoMT-based attacks. Therefore, the proposed model uses a realistic dataset namely, ToN-IoT which is collected from a heterogeneous and large-scale IoT network. The experimental result shows that the proposed framework can achieve detection rate of 99.98%, accuracy of 96.35%, and can reduce false alarm rate up to 5.59%. © 2020 Elsevier B.V.	Cyber-attacks; Ensemble learning; Fog computing; Internet of Medical Things (IoMT); Intrusion detection system (IDS)	Computer architecture; Crime; Decision trees; Fog; Fog computing; Health care; Heterogeneous networks; Hospitals; Infrastructure as a service (IaaS); Internet of things; Large dataset; Malware; Network architecture; Network security; Classification results; Cloud architectures; Deployment architecture; Ensemble learning; False alarm rate; Health care costs; Health-care system; Internet of Things (IOT); Software as a service (SaaS)
P2IDF: A Privacy-Preserving based Intrusion Detection Framework for Software Defined Internet of Things-Fog (SDIoT-Fog)	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098869385&doi=10.1145%2f3427477.3429989&partnerID=40&md5=30e376fdfe5d676673d108a32e38ba38	The Software Defined Internet of Things-Fog (SDIoT-Fog) has provided a new connectivity paradigm for effective service provisioning. SDIoT-Fog uses network resource virtualization to provide services to heterogeneous IoT devices. However, data privacy, and security are the two major challenges that prevents faster realization of SDIoT-based frameworks. Motivated from the aforementioned challenges, we present a Privacy-Preserving based Intrusion Detection Framework (P2IDF) for protecting confidential data and to detect malicious instances in SDIoT-Fog network traffic. This framework has two key engines. Firstly, a Sparse AutoEncoder (SAE)-based privacy-preservation engine is suggested that transforms original data into a new encoded form that avoids inference attacks. Secondly, an intrusion detection engine is suggested that uses Artificial Neural Network (ANN) to train and evaluate the outcomes of the proposed privacy-preservation engine using an IoT-based dataset named ToN-IoT. Finally, experimental results showed that the proposed P2IDF framework outperforms with some recent state-of-The-Art frameworks in terms of detection rate, accuracy and precision score. © 2021 ACM.	Fog Computing; Internet of Things (IoT); Intrusion Detection System (IDS); Privacy-Preservation; Software Defined Networking (SDN)	Engines; Fog; Fog computing; Intrusion detection; Neural networks; Privacy by design; Accuracy and precision; Confidential data; Inference attacks; Network resource; Network traffic; Privacy preservation; Privacy preserving; Service provisioning; Internet of things
Security and privacy issues in fog computing for healthcare 4.0	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090254661&doi=10.1007%2f978-3-030-46197-3_12&partnerID=40&md5=79e0e0f2da717f462b14ff11b8662e8e	Fog computing is a new trending technology which adds on the capability and efficiency to cloud computing network as it is interposed between cloud and device. Fog devices are able to compute large quantity of data locally, portable, and may be installed on heterogeneous system. It is significantly suitable for healthcare due to its real-time processing and event responses. Such huge variety of traits emerges new security and privacy issues. In the field of healthcare, security poses additional challenges due to the secure transfer, arrival and access, availability of medical device. Ultimately human well-being is the superior necessity. It has become more vulnerable due to its features like mobility, heterogeneity, decentralized and additional challenges sensitive health information records, interoperability of medical IoT device. Therefore, Fog computing demands exclusive way for security and privacy measurements rather than existing measures for cloud computing. Also, as the number of access point increases it is open for more vulnerability. Implanted devices are more critical as if it is not properly secured, then they may put patient in a critical situation. This chapter discusses about basic security and privacy issues which state the need for security in Fog-based medical devices. Different possible attacks and threats are covered with the scenario of implanted medical device. Security challenges for different segments of Fog computing like device, network, and data have been discussed with in-depth analysis for security challenges, privacy, and trust issues in the relation of healthcare 4.0. © Springer Nature Switzerland AG 2021.	Attacks; Blockchain; Fog computing; Intrusion detection system; Privacy; Threats	
Identification of a Malicious Optical Edge Device in the SDN-Based Optical Fog/Cloud Computing Network	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049731366&doi=10.1515%2fjoc-2018-0047&partnerID=40&md5=9c3038e52afabd7e035f04e68a871e21	Software-defined networking (SDN) and optical transmission are the most cost-effective technologies for implementing high-bandwidth-based communication in the fog/cloud computing environment. The passive optical network uses optical line terminals and optical network units as optical edge devices (OEDs) to deliver fog/cloud-based services effectively. The security of such OEDs is one of the key issues for successful implementation of fog/cloud computing over the SDN-based optical network. The main security challenge is to detect and prevent the malicious OED that transmitting abusing data-frames in the SDN-based optical fog/cloud computing network. An OED can be easily hacked by the attacker to launch intrusive attacks those affect the quality of service of the optical channel. In this paper, a secure framework is proposed for identifying malicious OED in the fog/cloud computing over the SDN-based optical network. It identifies the malicious OED and shifts it to the honeypot to mitigate and analyze the attack. It uses two-stage hidden Markov model (HMM), intrusion detection system (IDS)-based fog manager and an optical virtual honeypot device (OVHD). A two-stage HMM is effectively used to reduce the false alarms of IDS in the identification of malicious OED and shifting it onto the OVHD. The OVHD is created in the SDN-based optical network by using the concept of free-available-resource and optical network virtualization. The proposed OVHD logs all malicious activities as well as attacker's path for preventing future attacks. In order to validate the proposed framework, the simulation of two-stage HMM is implemented in MATLAB and mitigation impacts of the internal attacks are studied by using iFogSim toolkit. The results show the effectiveness of the proposed framework. © 2018 Walter de Gruyter GmbH, Berlin/Boston 2018.	fog/cloud computing; Markov model; optical network; optical network virtualization; optical virtual honeypot device.; software-defined networking (SDN)	Cost effectiveness; Fiber optic networks; Fog; Fog computing; Hidden Markov models; Intrusion detection; Light transmission; MATLAB; Optical communication; Passive optical networks; Quality of service; Software defined networking; Virtualization; Computing environments; Cost-effective technology; Honeypots; Intrusion Detection Systems; Markov model; Network virtualization; Optical line terminals; Software defined networking (SDN); Network security
A comparative study of techniques, datasets and performances for intrusion detection systems in IoT	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090258733&doi=10.1007%2f978-981-15-5329-5_22&partnerID=40&md5=621bec925cbce5f391a13c391713e8ff	IoT Security is the area concerned with safeguarding connected systems. IoT involves the set-up of various integrated devices. Devices are identified with a unique identifier, and provided with the ability to transfer data over the network opens them up to several serious vulnerabilities, if not appropriately protected. An Intrusion Detection and Prevention System (IDPS) plays a crucial part in discovering and preventing numerous attacks entering the network and provide an uncompromised secure system. The sheer volume of the sensors in a system comes with limitations such as interoperability, scalability, and storage, where security algorithms like IDS couldn’t perform well as it requires a huge amount of labelled data for training, to detect intrusions and ascertain new attacks. Fog computing plays a major role with a decentralized architecture allows IoT devices to compute, make decisions, take actions, and push only relevant information to the cloud. Data availability is closer and can act immediately for the sensitive information, which in turn helps the IDS to perform well using Artificial Intelligence algorithm to detect and prevent various attacks. This paper categorizes the existing recent researches in IoT Intrusion Detection systems using artificial intelligence and fog computing architecture in terms of technical constraints. © Springer Nature Singapore Pte Ltd. 2021.	Anomaly detection; Deep learning; Internet of things (IoT); Intrusion detection system (IDS); Machine learning	
IoT-Fog-Cloud model for anomaly detection using improved Naïve Bayes and principal component analysis	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098797789&doi=10.1007%2fs12652-020-02723-3&partnerID=40&md5=8a8c248acd46158a488eb0c57dead635	Internet of Things (IoT) is one of the significant emerging domains in computing. IoT structures the base of future infrastructures, developing the advancement of future smart cities that are naturally moderate. However, IoT is vulnerable to different cyber-attacks. The most critical issues of the IoT are security and privacy. In this research, the integration of IoT with cloud and fog computing can present an improved platform to support IoT smart city applications. Cloud computing can provide data storage at top-level management and fog computing can offer various services for supporting smart city applications based on IoT. The integrated architecture of the IoT-Fog-Cloud computing model is presented in this research. For the analysis based on Network-based Intrusion Detection System (NIDS) anomaly detection, the Improved Naïve Bayes (INB) classifier based on Principal Component Analysis (PCA) technique is proposed in this work. The UNSW-NB15 dataset is used for the evaluation of the attack detection model. The PCA technique is used to extract features of the dataset, and the INB classifier is used for the classification of attacks. This technique is proposed to enhance the efficiency of the anomaly detection and to improve the performance analysis in terms of accuracy, precision, recall, and detection rate. The INB-PCA achieved 92.48% accuracy and 95.35% detection rate. © 2021, Springer-Verlag GmbH Germany, part of Springer Nature.	Anomaly detection; Cloud computing; Cyber-attacks; Fog computing; Improved Naïve Bayes; IoT; Principal component analysis; UNSW-NB15 dataset	Anomaly detection; Barium compounds; Classification (of information); Computer crime; Digital storage; Fog; Fog computing; Information management; Intrusion detection; Network security; Smart city; Sodium compounds; Storage as a service (STaaS); Attack detection; Emerging domains; Integrated architecture; Internet of Things (IOT); Level management; Network based intrusion detection systems; Performance analysis; Security and privacy; Internet of things
Accelerated neural intrusion detection for wireless sensor networks	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090097039&doi=10.1007%2f978-3-030-57796-4_20&partnerID=40&md5=a46ae24a1f596860d4b8d69c1040ec4d	Wireless sensor networks (WSNs) form an important layer of technology used in smart cities, intelligent transportation systems, Industry, Energy, Agriculture 4.0, the Internet of Things, and, for example, fog and edge computing. Cybernetic security of such systems is a major issue and efficient methods to improve their security and reliability are sought. Intrusion detection systems (IDSs) automatically detect malicious network traffic, classify cybernetic attacks, and protect systems and their users. Neural networks are used by a variety of intrusion detection systems. Their efficient use in WSNs requires both learning and optimization and very efficient implementation of the detection. In this work, the acceleration of a neural intrusion detection model, developed specifically for wireless sensor networks, is proposed, studied, and evaluated. © Springer Nature Switzerland AG 2021.		Agricultural robots; Computer crime; Intelligent networks; Intelligent systems; Intrusion detection; Cybernetic attacks; Efficient implementation; Intelligent transportation systems; Intrusion detection models; Intrusion Detection Systems; Network traffic; Security and reliabilities; Wireless sensor network (WSNs); Wireless sensor networks
